gene_id,s_mtsc_complete_wt,s_mtsc_ezr_a1_td_single_tdbl,s_mtsc_ezr_d1_td_single_tdbl,s_mtsc_klf5_a3_tdbl_first_half,s_mtsc_klf5_d3_tdbl_first_half,s_mtsc_rin3_g2_tftd_dis_homozy_del,s_mtsc_rin3_h2_tftd_dis_insertion_td
ENSMUSG00000000001,10917,9763,11678,10471,10141,12354,10332
ENSMUSG00000000003,0,0,0,0,0,0,0
ENSMUSG00000000028,3839,2441,3620,3605,3551,4221,3262
ENSMUSG00000000031,120,69,115,69,86,78,114
ENSMUSG00000000037,0,1,0,3,0,0,0
ENSMUSG00000000049,0,0,0,0,1,0,0
ENSMUSG00000000056,1633,1501,1766,1541,1287,1495,1207
ENSMUSG00000000058,1,0,3,0,1,0,0
ENSMUSG00000000078,6960,13453,10763,8352,6073,12460,9424
ENSMUSG00000000085,6021,1760,6091,5692,10301,4879,4107
ENSMUSG00000000088,8621,9266,9251,8177,8937,10536,8555
ENSMUSG00000000093,125,102,105,103,98,109,254
ENSMUSG00000000094,129,15,75,52,22,73,63
ENSMUSG00000000103,0,0,0,0,0,0,0
ENSMUSG00000000120,272,1586,208,97,811,242,317
ENSMUSG00000000125,142,9,120,118,11,87,55
ENSMUSG00000000126,452,497,636,393,306,441,452
ENSMUSG00000000127,1385,1710,1531,1383,1364,1666,1424
ENSMUSG00000000131,8013,4993,8153,7597,6669,7434,7025
ENSMUSG00000000134,5397,3733,5962,5343,5197,5264,4903
ENSMUSG00000000142,344,249,176,232,172,413,389
ENSMUSG00000000148,965,1126,1226,994,1154,1114,971
ENSMUSG00000000149,2738,2467,2433,1830,2046,3178,2667
ENSMUSG00000000154,44,22,43,22,58,83,69
ENSMUSG00000000157,0,0,0,0,0,0,0
ENSMUSG00000000159,0,0,0,0,0,1,1
ENSMUSG00000000167,61,78,84,78,82,93,77
ENSMUSG00000000168,5497,5126,5316,4699,5219,6293,5510
ENSMUSG00000000171,7590,5991,6971,5811,6220,8341,7257
ENSMUSG00000000182,0,0,0,0,1,0,2
ENSMUSG00000000183,0,1,0,0,2,0,0
ENSMUSG00000000184,333,44,330,297,298,488,574
ENSMUSG00000000194,3757,3308,3882,3510,3466,4504,3785
ENSMUSG00000000197,2,0,1,4,3,1,1
ENSMUSG00000000202,238,191,114,109,162,162,222
ENSMUSG00000000204,0,0,0,0,0,0,0
ENSMUSG00000000214,2,0,0,1,1,2,3
ENSMUSG00000000215,0,1,0,0,0,0,0
ENSMUSG00000000216,1,0,0,0,0,0,0
ENSMUSG00000000223,207,153,199,199,157,213,177
ENSMUSG00000000244,3,2,4,0,1,1,4
ENSMUSG00000000247,85,52,234,99,34,120,105
ENSMUSG00000000248,0,0,2,1,0,0,0
ENSMUSG00000000253,2614,3954,1979,2628,2924,2795,2916
ENSMUSG00000000263,0,0,1,0,0,0,0
ENSMUSG00000000266,580,974,571,478,330,525,549
ENSMUSG00000000275,7068,5960,7632,6139,6627,8176,6427
ENSMUSG00000000276,1381,1072,1340,1138,1131,1969,1958
ENSMUSG00000000278,1402,1608,1000,807,991,1130,1271
ENSMUSG00000000282,2768,2599,2618,2432,2708,2936,2852
ENSMUSG00000000290,2,5,6,2,7,7,3
ENSMUSG00000000295,846,649,855,831,809,958,835
ENSMUSG00000000296,204,135,130,124,185,246,201
ENSMUSG00000000301,139,192,207,180,188,183,159
ENSMUSG00000000303,55163,32943,53486,48030,53406,62739,43109
ENSMUSG00000000305,156,19,0,127,61,254,138
ENSMUSG00000000308,587,46,419,342,511,712,764
ENSMUSG00000000317,231,85,199,231,173,257,160
ENSMUSG00000000318,0,0,1,0,0,0,1
ENSMUSG00000000320,440,102,327,294,277,478,343
ENSMUSG00000000325,1528,3381,1507,1264,1700,2092,1749
ENSMUSG00000000326,1259,1475,1519,1166,1007,1459,1261
ENSMUSG00000000339,2468,1624,2653,2514,2716,2765,2491
ENSMUSG00000000340,2405,1413,2343,2178,1918,2762,2356
ENSMUSG00000000346,2391,1993,2504,2229,2705,3086,2347
ENSMUSG00000000355,1289,1149,1210,1149,1109,1288,1032
ENSMUSG00000000359,22,12,13,39,5,63,26
ENSMUSG00000000365,7509,5365,5426,5041,6618,5585,6699
ENSMUSG00000000374,3951,3583,3727,3215,3319,3623,3294
ENSMUSG00000000378,3692,4100,4181,3870,4032,3584,3069
ENSMUSG00000000381,1,0,0,0,0,0,0
ENSMUSG00000000384,5717,4602,6343,5292,5571,6164,4992
ENSMUSG00000000385,916,738,1343,705,807,1355,1149
ENSMUSG00000000386,2,2,1,1,0,1,2
ENSMUSG00000000392,7,5,2,3,1,4,1
ENSMUSG00000000394,0,0,0,1,0,0,0
ENSMUSG00000000399,5451,4202,5733,4918,6552,6074,4967
ENSMUSG00000000402,9,3,5,6,0,8,6
ENSMUSG00000000409,223,151,425,215,342,97,130
ENSMUSG00000000411,2,2,0,0,0,2,0
ENSMUSG00000000416,54,34,67,63,62,79,78
ENSMUSG00000000420,7393,8588,7010,6152,6580,7300,6146
ENSMUSG00000000435,0,0,0,0,0,0,0
ENSMUSG00000000439,1751,1350,1305,1077,1857,1648,1852
ENSMUSG00000000440,49,94,438,120,61,325,51
ENSMUSG00000000441,4612,3223,5037,4341,6348,5030,4477
ENSMUSG00000000486,218,103,115,101,167,224,174
ENSMUSG00000000489,3955,5033,3744,2730,4743,4707,4070
ENSMUSG00000000530,1125,1349,1503,960,978,2040,1066
ENSMUSG00000000531,992,637,1283,1032,1667,1302,946
ENSMUSG00000000532,3521,2570,3561,2868,3238,4513,3414
ENSMUSG00000000538,1163,1250,967,971,983,1054,1140
ENSMUSG00000000544,24,4,10,13,17,7,12
ENSMUSG00000000552,1475,911,1938,1722,1424,1737,1583
ENSMUSG00000000555,9900,7666,13493,9533,10082,11982,9495
ENSMUSG00000000560,0,0,0,0,1,0,0
ENSMUSG00000000561,4961,2768,5705,5238,4618,5861,4548
ENSMUSG00000000562,0,0,0,0,0,0,0
ENSMUSG00000000563,12361,9878,13888,12561,12536,15685,12219
ENSMUSG00000000567,546,612,568,351,571,1295,696
ENSMUSG00000000568,19784,15813,20187,19210,17371,18972,15721
ENSMUSG00000000579,61,39,44,51,47,40,32
ENSMUSG00000000581,2081,2069,2049,1715,1839,2422,2029
ENSMUSG00000000594,4481,6331,4634,3997,5994,6046,4040
ENSMUSG00000000600,2788,3047,2964,2561,2131,2685,2937
ENSMUSG00000000605,2207,1880,2569,2135,1652,2642,2164
ENSMUSG00000000606,0,0,0,0,0,0,0
ENSMUSG00000000617,5,1,0,0,0,17,2
ENSMUSG00000000627,283,186,159,141,215,156,248
ENSMUSG00000000628,13741,7288,13930,11242,16940,13368,11184
ENSMUSG00000000631,5180,3884,3440,2637,2169,4940,5437
ENSMUSG00000000632,1,4,0,1,11,12,5
ENSMUSG00000000673,5,4,3,0,5,9,6
ENSMUSG00000000682,39,28,50,42,22,129,30
ENSMUSG00000000686,44,50,71,50,52,65,46
ENSMUSG00000000690,21,3,14,8,5,7,15
ENSMUSG00000000693,109,17,95,61,99,96,145
ENSMUSG00000000701,0,0,0,0,0,0,0
ENSMUSG00000000706,4,6,8,3,2,0,2
ENSMUSG00000000708,1901,2215,1845,1981,1616,2356,2259
ENSMUSG00000000711,4776,5670,4994,3792,6034,5024,4209
ENSMUSG00000000724,0,0,0,0,0,0,0
ENSMUSG00000000730,1874,100,1902,1236,2092,1585,3764
ENSMUSG00000000731,275,93,113,140,202,286,263
ENSMUSG00000000732,1260,1626,1613,1464,1372,1650,1436
ENSMUSG00000000738,4221,3912,3573,3294,4242,4245,3985
ENSMUSG00000000739,2,4,0,1,3,6,8
ENSMUSG00000000740,29705,27486,29010,26193,31202,33221,29562
ENSMUSG00000000743,4650,5846,5235,4013,5167,5878,4739
ENSMUSG00000000751,7305,6017,6976,6512,6247,7907,6609
ENSMUSG00000000753,13,2,27,11,27,11,20
ENSMUSG00000000759,3905,2689,3673,3281,3024,3862,3646
ENSMUSG00000000766,0,0,0,0,0,0,0
ENSMUSG00000000776,3702,1439,4083,3725,3718,3782,3227
ENSMUSG00000000782,8083,8653,6365,6576,8012,7639,6175
ENSMUSG00000000787,32423,29016,34242,31413,23160,31075,30173
ENSMUSG00000000791,19,39,29,17,36,33,20
ENSMUSG00000000792,552,395,1026,161,427,183,120
ENSMUSG00000000794,35,6,42,29,18,92,65
ENSMUSG00000000804,6154,5455,5146,4526,4716,5416,6197
ENSMUSG00000000805,1408,421,875,1030,275,897,1053
ENSMUSG00000000811,240,182,303,287,334,307,294
ENSMUSG00000000817,19,42,101,25,12,159,49
ENSMUSG00000000823,2236,1162,2511,2125,1977,2301,2105
ENSMUSG00000000826,9942,7896,10279,8771,8566,8881,7661
ENSMUSG00000000827,7264,6546,6854,6155,6881,7827,6868
ENSMUSG00000000838,14940,12847,14015,14949,8049,11920,11605
ENSMUSG00000000861,39,5,34,49,31,16,57
ENSMUSG00000000869,0,0,0,0,0,0,0
ENSMUSG00000000876,639,732,529,545,556,724,599
ENSMUSG00000000881,1504,1563,2022,1801,2482,2560,2152
ENSMUSG00000000884,361,380,263,263,298,393,381
ENSMUSG00000000889,0,0,0,0,0,1,0
ENSMUSG00000000901,681,1199,722,476,691,1261,668
ENSMUSG00000000902,5254,4674,4804,3955,4377,5534,4717
ENSMUSG00000000903,0,0,0,1,5,1,4
ENSMUSG00000000915,3418,3325,3046,2373,2948,3188,2617
ENSMUSG00000000916,1466,1101,1314,1224,1252,1316,1109
ENSMUSG00000000934,1288,788,1371,1162,1281,1467,1127
ENSMUSG00000000938,394,25,144,213,64,104,226
ENSMUSG00000000942,21,3,10,21,7,18,19
ENSMUSG00000000948,1,0,0,0,2,0,0
ENSMUSG00000000957,3212,4929,4864,2898,2964,4724,2891
ENSMUSG00000000958,964,867,801,706,1041,864,776
