gene_id,s_mtsc_complete_wt_rep2,s_mtsc_ezr_d1_td_single_tdbl_rep2,s_mtsc_klf5_a3_tdbl_first_half_rep2,s_mtsc_krt8_18_f7_tftd_dis_insertion_tf,s_mtsc_krt8_18_h9_tftd_dis_insertion_tf,s_mtsc_rin3_g2_tftd_dis_homozy_del_rep2
ENSMUSG00000000001,13878,15623,11286,15432,14166,15624
ENSMUSG00000000003,0,0,0,0,0,0
ENSMUSG00000000028,4872,5369,5604,6002,5141,5946
ENSMUSG00000000031,149,101,137,272,152,71
ENSMUSG00000000037,0,1,1,0,1,0
ENSMUSG00000000049,0,1,1,2,0,1
ENSMUSG00000000056,1583,1996,1859,2172,1537,2087
ENSMUSG00000000058,3,1,0,1,0,0
ENSMUSG00000000078,7507,9952,8043,17738,17191,10263
ENSMUSG00000000085,4071,5599,4566,5642,4345,5654
ENSMUSG00000000088,9912,12031,12724,12163,13619,11486
ENSMUSG00000000093,169,131,237,282,595,119
ENSMUSG00000000094,95,88,57,58,43,96
ENSMUSG00000000103,0,0,0,0,0,0
ENSMUSG00000000120,453,285,207,706,560,301
ENSMUSG00000000125,77,108,137,189,33,60
ENSMUSG00000000126,414,532,420,774,1195,515
ENSMUSG00000000127,1976,2212,2119,2144,2295,2431
ENSMUSG00000000131,7172,8341,8029,8505,8741,8051
ENSMUSG00000000134,5740,6750,6474,6657,7033,6361
ENSMUSG00000000142,412,384,484,1352,251,561
ENSMUSG00000000148,1109,1244,1166,1246,1263,1464
ENSMUSG00000000149,2685,3298,2920,2977,3424,3911
ENSMUSG00000000154,29,39,34,82,79,83
ENSMUSG00000000157,0,0,0,0,0,0
ENSMUSG00000000159,0,1,1,0,0,0
ENSMUSG00000000167,73,100,84,104,76,108
ENSMUSG00000000168,6055,7177,6316,6851,7166,7815
ENSMUSG00000000171,7992,9848,8820,10160,9938,10203
ENSMUSG00000000182,0,2,0,0,0,0
ENSMUSG00000000183,0,2,0,0,0,0
ENSMUSG00000000184,341,481,353,520,620,469
ENSMUSG00000000194,3961,4544,3972,4579,4490,5188
ENSMUSG00000000197,2,0,0,13,2,2
ENSMUSG00000000202,241,258,259,276,291,207
ENSMUSG00000000204,1,0,0,1,1,0
ENSMUSG00000000214,1,1,1,1,0,4
ENSMUSG00000000215,0,0,0,1,0,0
ENSMUSG00000000216,0,0,0,0,1,0
ENSMUSG00000000223,188,236,197,214,255,268
ENSMUSG00000000244,2,3,2,4,1,3
