gene_id,s_mtsc_complete_wt_rep3,s_mtsc_ezr_d1_td_single_tdbl_rep3,s_mtsc_klf5_a3_tdbl_first_half_rep3,s_mtsc_krt8_18_h9_tftd_dis_insertion_tf_rep2,s_mtsc_rin3_g2_tftd_dis_homozy_del_rep3,s_mtsc_rin3_h2_tftd_dis_insertion_td_rep2
ENSMUSG00000000001,6805,18496,15353,10693,18249,5654
ENSMUSG00000000003,0,0,0,0,0,0
ENSMUSG00000000028,2810,7099,5709,3973,7369,2245
ENSMUSG00000000031,98,304,192,81,151,82
ENSMUSG00000000037,0,2,5,1,1,3
ENSMUSG00000000049,0,0,1,1,0,0
ENSMUSG00000000056,1048,2993,2641,1399,2815,771
ENSMUSG00000000058,0,0,0,1,0,0
ENSMUSG00000000078,8773,27738,26159,15346,23594,5758
ENSMUSG00000000085,2705,8554,4790,3045,6295,2417
ENSMUSG00000000088,6713,13990,12347,11027,17394,5790
ENSMUSG00000000093,75,156,196,280,176,110
ENSMUSG00000000094,82,194,115,42,108,35
ENSMUSG00000000103,0,0,0,0,0,0
ENSMUSG00000000120,227,448,275,393,691,161
ENSMUSG00000000125,104,492,310,52,198,45
ENSMUSG00000000126,322,838,663,643,886,206
ENSMUSG00000000127,1061,2870,2301,1559,2754,763
ENSMUSG00000000131,4258,11951,9227,5557,10489,3327
ENSMUSG00000000134,3396,9671,7283,4946,8297,2822
ENSMUSG00000000142,351,925,1069,384,1364,216
ENSMUSG00000000148,598,1613,1148,851,1549,470
ENSMUSG00000000149,1518,4131,3047,1987,4388,1151
ENSMUSG00000000154,37,159,68,101,159,44
ENSMUSG00000000157,0,0,0,1,0,0
ENSMUSG00000000159,0,1,0,0,0,0
ENSMUSG00000000167,69,170,84,68,101,29
ENSMUSG00000000168,3467,9029,7568,5400,9738,2882
ENSMUSG00000000171,5895,14432,12715,9236,15431,5123
ENSMUSG00000000182,0,1,0,0,0,0
ENSMUSG00000000183,0,0,0,0,0,0
ENSMUSG00000000184,137,655,424,534,652,273
ENSMUSG00000000194,2572,6489,5311,4097,6893,2017
ENSMUSG00000000197,2,4,0,0,3,1
ENSMUSG00000000202,130,246,237,254,321,150
ENSMUSG00000000204,0,0,0,2,1,1
ENSMUSG00000000214,2,7,1,2,4,1
ENSMUSG00000000215,0,0,0,0,0,0
ENSMUSG00000000216,0,0,0,0,0,0
ENSMUSG00000000223,124,420,221,139,332,84
ENSMUSG00000000244,1,3,5,7,10,2
ENSMUSG00000000247,67,218,92,109,124,65
ENSMUSG00000000248,0,0,1,0,0,0
ENSMUSG00000000253,1922,2993,4360,3281,4707,1935
ENSMUSG00000000263,0,1,0,0,0,0
ENSMUSG00000000266,281,719,647,630,703,255
ENSMUSG00000000275,3743,10682,7553,4941,10824,3117
ENSMUSG00000000276,1251,3262,2432,2162,3115,1061
ENSMUSG00000000278,696,1617,1514,840,1672,684
ENSMUSG00000000282,1781,4780,3834,2834,4736,1407
ENSMUSG00000000290,5,10,5,10,3,2
ENSMUSG00000000295,709,1607,1552,1095,1853,684
ENSMUSG00000000296,179,337,269,265,379,113
ENSMUSG00000000301,160,382,248,219,363,102
ENSMUSG00000000303,26697,99071,60389,35311,80732,19820
ENSMUSG00000000305,84,1,129,162,280,41
ENSMUSG00000000308,361,1217,755,940,1121,376
ENSMUSG00000000317,92,247,188,150,294,64
ENSMUSG00000000318,0,2,0,3,0,0
ENSMUSG00000000320,211,658,359,292,737,189
ENSMUSG00000000325,950,2552,2158,1591,2947,727
ENSMUSG00000000326,956,2412,1762,1450,2417,720
ENSMUSG00000000339,1938,4736,3563,2708,4915,1589
ENSMUSG00000000340,1406,4047,3153,2222,3768,1172
ENSMUSG00000000346,1852,5548,3688,2798,5026,1449
ENSMUSG00000000355,841,1920,1733,1444,2340,808
ENSMUSG00000000359,25,33,39,23,60,12
ENSMUSG00000000365,3873,9807,7871,6064,10144,3479
ENSMUSG00000000374,2117,6509,4282,3154,5778,1556
ENSMUSG00000000378,2631,6195,4881,3993,6246,2016
ENSMUSG00000000381,0,0,0,0,0,0
ENSMUSG00000000384,3838,10707,7784,5709,10704,3135
ENSMUSG00000000385,721,2705,1487,1507,2338,510
ENSMUSG00000000386,0,2,1,4,2,0
ENSMUSG00000000392,4,7,3,7,5,2
ENSMUSG00000000394,0,0,0,0,0,0
ENSMUSG00000000399,3670,10201,8150,5711,10071,3319
ENSMUSG00000000402,11,13,9,4,18,9
ENSMUSG00000000409,149,549,218,64,162,87
ENSMUSG00000000411,6,1,5,2,1,1
ENSMUSG00000000416,28,135,83,62,94,18
ENSMUSG00000000420,4482,11839,8958,6049,11279,3154
ENSMUSG00000000435,0,0,0,0,0,0
ENSMUSG00000000439,1106,2910,2455,2021,2865,850
ENSMUSG00000000440,61,469,142,112,253,35
ENSMUSG00000000441,3073,8799,6400,4390,8193,2544
ENSMUSG00000000486,107,256,208,173,306,120
ENSMUSG00000000489,2931,7901,6188,6018,7862,1926
ENSMUSG00000000530,960,2304,1830,1103,3227,531
ENSMUSG00000000531,665,1889,1288,841,1824,568
ENSMUSG00000000532,2603,7218,4870,2701,7087,1690
ENSMUSG00000000538,685,1750,1391,1131,1777,532
ENSMUSG00000000544,15,30,22,26,34,6
ENSMUSG00000000552,1000,2661,1887,1332,2269,754
ENSMUSG00000000555,7536,18610,15343,8910,20341,4811
ENSMUSG00000000560,0,0,0,0,0,0
ENSMUSG00000000561,3400,8603,6980,4693,9536,2903
ENSMUSG00000000562,0,0,0,0,0,0
ENSMUSG00000000563,10295,25793,20198,16031,27360,8174
ENSMUSG00000000567,572,1987,1320,873,2300,260
ENSMUSG00000000568,11417,29938,22675,15076,26850,8950
ENSMUSG00000000579,18,50,45,30,70,19
ENSMUSG00000000581,1601,3623,3250,2488,4169,1307
ENSMUSG00000000594,3170,9874,7492,5187,9214,2374
ENSMUSG00000000600,1727,4430,3632,3245,3920,1314
ENSMUSG00000000605,1536,4837,3665,2478,4318,1200
ENSMUSG00000000606,0,0,0,0,0,0
ENSMUSG00000000617,0,1,0,0,15,0
ENSMUSG00000000627,161,311,313,298,375,132
ENSMUSG00000000628,8134,24844,16773,10560,23681,6163
ENSMUSG00000000631,2838,7035,5921,4938,7602,2403
ENSMUSG00000000632,6,17,8,8,7,3
ENSMUSG00000000673,4,8,2,5,15,1
ENSMUSG00000000682,50,109,109,114,228,24
ENSMUSG00000000686,30,80,50,41,78,15
ENSMUSG00000000690,8,8,6,12,17,5
ENSMUSG00000000693,53,145,101,79,125,62
ENSMUSG00000000701,0,0,0,0,0,0
ENSMUSG00000000706,0,3,4,3,5,3
ENSMUSG00000000708,1224,3873,2782,1940,3572,1017
ENSMUSG00000000711,2904,10260,5951,4440,7496,2088
ENSMUSG00000000724,0,0,0,0,0,0
ENSMUSG00000000730,1247,4466,2910,1564,2772,2217
ENSMUSG00000000731,182,530,346,340,441,168
ENSMUSG00000000732,1028,2578,2068,1598,2476,893
ENSMUSG00000000738,2500,6071,5477,3550,6560,2172
ENSMUSG00000000739,0,13,1,3,3,3
ENSMUSG00000000740,25088,57850,48880,43905,63226,21801
ENSMUSG00000000743,3513,9279,7228,5573,9994,3042
ENSMUSG00000000751,4734,11812,9920,6818,12584,4096
ENSMUSG00000000753,5,26,10,5,23,13
ENSMUSG00000000759,2368,7141,4759,3878,6173,1912
ENSMUSG00000000766,0,0,0,0,0,0
ENSMUSG00000000776,2539,6906,5108,3638,6164,1913
ENSMUSG00000000782,3949,8989,8251,4743,10582,2560
ENSMUSG00000000787,20942,63617,46129,31073,50730,15215
ENSMUSG00000000791,19,40,18,16,26,7
ENSMUSG00000000792,338,1435,325,200,341,78
ENSMUSG00000000794,23,148,65,38,120,27
ENSMUSG00000000804,3159,8962,7182,4934,7624,2433
ENSMUSG00000000805,1403,2207,2822,2956,3264,968
ENSMUSG00000000811,194,518,382,262,448,148
ENSMUSG00000000817,47,195,86,196,223,34
ENSMUSG00000000823,1311,4158,2612,1691,3280,1065
ENSMUSG00000000826,6126,17211,13549,8580,16354,4868
ENSMUSG00000000827,5250,13602,10633,9161,14203,4425
ENSMUSG00000000838,6535,19876,16073,11485,15763,5937
ENSMUSG00000000861,15,67,29,31,25,24
ENSMUSG00000000869,0,0,0,0,0,0
ENSMUSG00000000876,491,1132,928,747,1180,327
ENSMUSG00000000881,1151,3671,3294,2129,3421,952
ENSMUSG00000000884,295,527,575,468,636,221
ENSMUSG00000000889,0,2,0,0,0,0
ENSMUSG00000000901,679,1817,1055,758,1963,349
ENSMUSG00000000902,3323,8388,6570,4572,8535,2744
ENSMUSG00000000903,2,4,3,2,0,0
ENSMUSG00000000915,1790,5290,4083,3010,4870,1442
ENSMUSG00000000916,828,2158,1765,1246,2201,628
ENSMUSG00000000934,726,2171,1510,1113,2020,568
ENSMUSG00000000938,249,322,315,402,363,213
ENSMUSG00000000942,10,21,35,22,17,13
ENSMUSG00000000948,0,1,1,0,0,0
ENSMUSG00000000957,2655,6673,4481,3911,6895,1377
ENSMUSG00000000958,509,1809,1142,550,1384,531
ENSMUSG00000000959,3498,8396,6750,5701,8483,2801
ENSMUSG00000000976,1217,3553,2697,1980,3127,1051
ENSMUSG00000000982,0,0,0,0,0,0
ENSMUSG00000000983,0,0,0,0,0,0
ENSMUSG00000001014,44,103,99,34,118,24
ENSMUSG00000001016,7214,20249,14206,11170,19169,6072
ENSMUSG00000001017,5654,14637,11151,7923,14285,4661
ENSMUSG00000001018,2423,6083,4702,3959,6390,1803
ENSMUSG00000001020,8,9,5,12,4,5
ENSMUSG00000001021,53,84,102,133,132,65
ENSMUSG00000001023,0,0,2,0,2,0
ENSMUSG00000001025,13860,28472,25026,26332,36813,11192
ENSMUSG00000001027,1,4,3,8,5,5
ENSMUSG00000001029,1,1,4,2,3,1
ENSMUSG00000001034,1118,2862,2237,1599,2548,861
ENSMUSG00000001036,1178,3427,2551,1573,3038,899
ENSMUSG00000001039,314,763,560,477,789,268
ENSMUSG00000001052,3177,8506,6843,4393,7426,2308
ENSMUSG00000001053,2018,4506,3860,2548,5112,1522
ENSMUSG00000001054,1004,2565,1923,1547,2658,767
ENSMUSG00000001056,5792,15510,11040,8392,15886,4759
ENSMUSG00000001062,356,972,700,502,820,221
ENSMUSG00000001065,791,2011,1573,1285,1956,634
ENSMUSG00000001076,191,530,350,369,549,203
ENSMUSG00000001082,566,726,659,174,679,449
ENSMUSG00000001089,4727,14507,10991,7862,12276,3639
ENSMUSG00000001095,0,0,1,0,0,0
ENSMUSG00000001098,5856,16302,12797,10063,16208,4864
ENSMUSG00000001100,2817,7554,5440,4413,7986,2327
ENSMUSG00000001103,0,0,0,0,0,0
ENSMUSG00000001105,863,1760,1679,1492,2350,699
ENSMUSG00000001119,166,338,233,105,387,79
ENSMUSG00000001120,450,1325,970,734,1121,381
ENSMUSG00000001123,414,1082,490,651,1285,202
ENSMUSG00000001127,2293,6579,4640,3849,5756,1781
ENSMUSG00000001128,155,403,293,270,374,148
ENSMUSG00000001131,439,2421,635,184,1524,296
ENSMUSG00000001134,535,1486,1059,817,1399,465
ENSMUSG00000001138,847,2305,1578,1092,2237,686
ENSMUSG00000001143,564,1580,1231,839,1415,517
ENSMUSG00000001150,3603,11462,8653,5781,10300,3369
ENSMUSG00000001151,3052,9727,6920,4484,7895,2391
ENSMUSG00000001155,0,0,0,0,1,0
ENSMUSG00000001156,243,587,442,339,580,161
ENSMUSG00000001157,667,1839,1500,1158,1852,603
ENSMUSG00000001158,1689,4267,3382,2593,4229,1353
ENSMUSG00000001166,67,177,104,99,170,45
ENSMUSG00000001168,0,2,0,8,2,0
ENSMUSG00000001173,1242,3472,2608,1872,3011,960
ENSMUSG00000001175,10491,28960,20300,17653,26190,8637
ENSMUSG00000001211,2641,6794,5252,3749,6312,1997
ENSMUSG00000001225,0,1,2,1,1,0
ENSMUSG00000001227,1317,3537,2441,1487,3902,1005
ENSMUSG00000001228,11890,32025,26032,15472,32652,10054
ENSMUSG00000001229,2295,5783,4731,3169,5471,1901
ENSMUSG00000001240,186,323,269,241,348,150
ENSMUSG00000001247,1645,3666,3371,2325,4241,1143
ENSMUSG00000001248,2872,8196,5181,4393,7097,2220
ENSMUSG00000001249,68,139,105,107,190,42
ENSMUSG00000001260,0,0,1,0,0,0
ENSMUSG00000001270,20299,47384,37198,34337,58449,15373
ENSMUSG00000001280,7572,23184,15483,11328,18809,5874
ENSMUSG00000001281,5,22,28,16,12,11
ENSMUSG00000001285,1420,3933,2824,1967,3403,1206
ENSMUSG00000001288,939,2214,1820,1290,2086,744
ENSMUSG00000001289,2981,7569,5944,4609,7376,2516
ENSMUSG00000001300,2655,11531,4499,3380,8088,1625
ENSMUSG00000001305,3014,8619,6522,4624,7646,2699
ENSMUSG00000001313,193,615,249,208,417,136
ENSMUSG00000001323,549,1545,1088,861,1484,425
ENSMUSG00000001333,279,1033,583,520,650,223
ENSMUSG00000001334,203,442,311,240,416,151
ENSMUSG00000001348,221,766,425,306,793,137
ENSMUSG00000001349,2,2,4,2,6,5
ENSMUSG00000001366,712,1785,1345,1001,1697,465
ENSMUSG00000001376,1782,5716,3881,2616,4565,1561
ENSMUSG00000001380,4257,12504,8882,6726,11613,3499
ENSMUSG00000001383,3812,10745,7406,5198,9631,2941
ENSMUSG00000001403,6410,15722,12492,10938,17055,5434
ENSMUSG00000001415,6447,19004,14452,9694,17706,5534
ENSMUSG00000001416,20348,54262,42656,30454,54656,18169
ENSMUSG00000001418,2548,5782,1161,362,2458,392
ENSMUSG00000001419,8655,22877,18499,14152,20343,6591
ENSMUSG00000001420,121,422,255,162,581,83
ENSMUSG00000001424,7941,23740,18367,11009,22967,7187
ENSMUSG00000001435,6401,17559,13078,5863,17877,4929
ENSMUSG00000001436,796,2229,1751,948,2229,669
ENSMUSG00000001440,26628,75180,59703,37250,69640,22005
ENSMUSG00000001441,4443,12282,9850,6039,11734,3459
ENSMUSG00000001444,7,42,13,9,34,9
ENSMUSG00000001445,3511,9459,6671,5250,9292,2888
ENSMUSG00000001467,5577,17398,12957,9380,15757,4747
ENSMUSG00000001472,10526,30208,22680,15092,27774,8361
ENSMUSG00000001473,11047,31347,23624,19319,28567,9775
ENSMUSG00000001482,3237,8904,6612,4558,9360,2526
ENSMUSG00000001493,1,2,2,2,3,0
ENSMUSG00000001494,25,35,18,16,21,17
ENSMUSG00000001496,1,0,5,17,1,2
ENSMUSG00000001497,149,330,291,231,385,108
ENSMUSG00000001504,1011,2683,2008,1751,2430,813
ENSMUSG00000001506,52,155,116,84,85,48
ENSMUSG00000001507,6738,16743,14532,10231,19384,4649
ENSMUSG00000001508,1,0,0,0,1,0
ENSMUSG00000001510,144,337,276,199,389,104
ENSMUSG00000001517,5040,12162,10482,7408,11233,4228
ENSMUSG00000001518,718,2185,1571,1085,1866,629
ENSMUSG00000001520,1,0,0,0,0,0
ENSMUSG00000001521,1402,3930,2987,1917,3175,1329
ENSMUSG00000001524,1165,2867,2386,1731,2888,934
ENSMUSG00000001525,54413,152750,118478,79960,150020,47285
ENSMUSG00000001542,501,1609,1060,809,1167,349
ENSMUSG00000001552,11662,27561,23388,19035,29068,8660
ENSMUSG00000001555,1570,1365,1769,1311,1261,804
ENSMUSG00000001558,17,63,77,43,95,14
ENSMUSG00000001566,11,42,30,20,41,34
ENSMUSG00000001569,2911,8796,6500,4221,7702,2305
ENSMUSG00000001576,3897,8500,7195,6525,8842,2976
ENSMUSG00000001583,194,530,416,255,680,161
ENSMUSG00000001588,6254,11925,13321,10989,14265,5536
ENSMUSG00000001604,434,868,929,820,962,492
ENSMUSG00000001622,0,0,0,0,0,0
ENSMUSG00000001627,3899,10608,7792,5930,8751,2844
ENSMUSG00000001630,953,2850,2110,1466,2425,776
ENSMUSG00000001632,4172,12151,9257,5728,10970,3366
ENSMUSG00000001642,2047,5029,3558,2463,4444,1876
ENSMUSG00000001655,487,1180,1015,1068,974,421
ENSMUSG00000001656,67,154,120,104,124,49
ENSMUSG00000001657,70,185,84,76,128,56
ENSMUSG00000001661,79,312,149,60,235,135
ENSMUSG00000001663,10,10,3,2,8,3
ENSMUSG00000001665,131,197,163,226,52,120
ENSMUSG00000001666,404,1034,684,643,858,295
ENSMUSG00000001670,1,2,1,1,1,0
ENSMUSG00000001672,100,313,226,118,312,94
ENSMUSG00000001674,4418,11816,8648,6380,10974,3971
ENSMUSG00000001687,1566,3699,3471,2656,3907,1147
ENSMUSG00000001700,900,2706,2190,1735,2800,805
ENSMUSG00000001707,3426,8298,6763,5629,8314,2608
ENSMUSG00000001729,9257,22325,18446,12306,25167,6958
ENSMUSG00000001739,23,58,55,37,53,25
ENSMUSG00000001741,0,0,2,0,2,1
ENSMUSG00000001750,3162,10313,5837,4067,8913,2400
ENSMUSG00000001751,228,423,366,265,422,174
