motif_id	motif_alt_id	sequence_name	start	stop	strand	score	p-value	q-value	matched_sequence
tead4		chr1	3423936	3423944	-	11.1154	8.34e-05		
tead4		chr1	3671718	3671726	-	11.6923	5.15e-05		
tead4		chr1	3728004	3728012	+	13.2308	2.45e-05		
tead4		chr1	3729080	3729088	-	14.4808	8.06e-06		
tead4		chr1	4327574	4327582	+	13.7308	1.96e-05		
tead4		chr1	4745876	4745884	-	14.9808	4.03e-06		
tead4		chr1	4808725	4808733	+	12.1923	3.99e-05		
tead4		chr1	4869886	4869894	-	11.2115	7.6e-05		
tead4		chr1	4978382	4978390	+	13.2308	2.45e-05		
tead4		chr1	5016059	5016067	+	14.9808	4.03e-06		
tead4		chr1	5108867	5108875	+	12.0769	4.48e-05		
tead4		chr1	5109182	5109190	+	13.2308	2.45e-05		
tead4		chr1	5123689	5123697	+	12.1923	3.99e-05		
tead4		chr1	5123903	5123911	+	13.7308	1.96e-05		
tead4		chr1	5124020	5124028	-	10.8846	9.99e-05		
tead4		chr1	5124461	5124469	-	10.9038	9.5e-05		
tead4		chr1	5124576	5124584	+	11.3846	7.2e-05		
tead4		chr1	5129740	5129748	-	12.0769	4.48e-05		
tead4		chr1	5262275	5262283	+	11.5769	5.98e-05		
tead4		chr1	5705140	5705148	-	12.0769	4.48e-05		
tead4		chr1	6023505	6023513	+	13.2308	2.45e-05		
tead4		chr1	6135447	6135455	+	13.7308	1.96e-05		
tead4		chr1	6360024	6360032	-	14.4808	8.06e-06		
tead4		chr1	6361900	6361908	+	13.1538	2.85e-05		
tead4		chr1	6361931	6361939	+	13.1538	2.85e-05		
tead4		chr1	6768065	6768073	-	13.9038	1.47e-05		
tead4		chr1	6990271	6990279	-	11.1923	8.01e-05		
tead4		chr1	7089410	7089418	+	11.1154	8.34e-05		
tead4		chr1	7094542	7094550	-	12.6538	3.26e-05		
tead4		chr1	7498709	7498717	+	11.6923	5.15e-05		
tead4		chr1	7498757	7498765	-	11.5769	5.98e-05		
tead4		chr1	7509176	7509184	+	10.9423	9.23e-05		
tead4		chr1	7509450	7509458	-	12.6538	3.26e-05		
tead4		chr1	7638462	7638470	+	13.2308	2.45e-05		
tead4		chr1	7638646	7638654	-	11.1154	8.34e-05		
tead4		chr1	8746085	8746093	-	13.7308	1.96e-05		
tead4		chr1	8942811	8942819	-	10.9423	9.23e-05		
tead4		chr1	8943586	8943594	+	11.3846	7.2e-05		
tead4		chr1	9313723	9313731	+	13.1538	2.85e-05		
tead4		chr1	9367646	9367654	-	13.2308	2.45e-05		
tead4		chr1	9368903	9368911	+	10.9423	9.23e-05		
tead4		chr1	9546549	9546557	-	13.9038	1.47e-05		
tead4		chr1	9560016	9560024	-	12.1923	3.99e-05		
tead4		chr1	9748723	9748731	-	11.5769	5.98e-05		
tead4		chr1	9755805	9755813	+	11	8.74e-05		
tead4		chr1	9769013	9769021	+	13.1538	2.85e-05		
tead4		chr1	9848714	9848722	+	11.5	6.38e-05		
tead4		chr1	9947762	9947770	+	11.6923	5.15e-05		
tead4		chr1	10009820	10009828	+	11.3846	7.2e-05		
tead4		chr1	10039001	10039009	+	12.6538	3.26e-05		
tead4		chr1	10039547	10039555	-	10.8846	9.99e-05		
tead4		chr1	10047485	10047493	-	12.1923	3.99e-05		
tead4		chr1	10090233	10090241	+	12.6538	3.26e-05		
tead4		chr1	10147948	10147956	+	11.5769	5.98e-05		
tead4		chr1	10285300	10285308	-	11.6923	5.15e-05		
tead4		chr1	10300758	10300766	+	11.3846	7.2e-05		
tead4		chr1	10513972	10513980	-	11.3846	7.2e-05		
tead4		chr1	10571380	10571388	-	12.1923	3.99e-05		
tead4		chr1	10571411	10571419	-	14.4808	8.06e-06		
tead4		chr1	10593035	10593043	+	11.5769	5.98e-05		
tead4		chr1	10720184	10720192	-	14.9808	4.03e-06		
tead4		chr1	10798134	10798142	+	13.2308	2.45e-05		
tead4		chr1	10866332	10866340	+	11.1154	8.34e-05		
tead4		chr1	10866531	10866539	-	10.8846	9.99e-05		
tead4		chr1	10870774	10870782	-	13.2308	2.45e-05		
tead4		chr1	10870868	10870876	-	13.2308	2.45e-05		
tead4		chr1	10873012	10873020	+	14.4808	8.06e-06		
tead4		chr1	10878537	10878545	-	13.7308	1.96e-05		
tead4		chr1	11493341	11493349	-	13.2308	2.45e-05		
tead4		chr1	11493435	11493443	-	13.2308	2.45e-05		
tead4		chr1	11755753	11755761	+	14.4808	8.06e-06		
tead4		chr1	11895494	11895502	+	11.3846	7.2e-05		
tead4		chr1	12326525	12326533	-	10.9423	9.23e-05		
tead4		chr1	12327165	12327173	+	11.1154	8.34e-05		
tead4		chr1	12351430	12351438	+	13.2308	2.45e-05		
tead4		chr1	12565399	12565407	-	10.9423	9.23e-05		
tead4		chr1	13162996	13163004	-	14.4038	1.14e-05		
tead4		chr1	13217197	13217205	-	14.4808	8.06e-06		
tead4		chr1	13217599	13217607	-	11.1923	8.01e-05		
tead4		chr1	13240580	13240588	+	14.9808	4.03e-06		
tead4		chr1	13240943	13240951	-	14.4038	1.14e-05		
tead4		chr1	13241230	13241238	+	13.2308	2.45e-05		
tead4		chr1	13260091	13260099	-	11.3846	7.2e-05		
tead4		chr1	13356237	13356245	+	12.6538	3.26e-05		
tead4		chr1	13356585	13356593	-	11	8.74e-05		
tead4		chr1	13361768	13361776	+	13.7308	1.96e-05		
tead4		chr1	13457601	13457609	+	14.9808	4.03e-06		
tead4		chr1	13532158	13532166	+	12.1923	3.99e-05		
tead4		chr1	13535722	13535730	+	14.4808	8.06e-06		
tead4		chr1	13605481	13605489	+	14.4808	8.06e-06		
tead4		chr1	13641742	13641750	+	11	8.74e-05		
tead4		chr1	13643709	13643717	+	13.2308	2.45e-05		
tead4		chr1	13785092	13785100	-	13.2308	2.45e-05		
tead4		chr1	13873206	13873214	-	11.6923	5.15e-05		
tead4		chr1	13932134	13932142	-	13.1538	2.85e-05		
tead4		chr1	13941845	13941853	+	11.1154	8.34e-05		
tead4		chr1	14485411	14485419	+	14.9808	4.03e-06		
tead4		chr1	14636346	14636354	-	12.6538	3.26e-05		
tead4		chr1	14756165	14756173	+	10.8846	9.99e-05		
tead4		chr1	14775615	14775623	+	11.6923	5.15e-05		
tead4		chr1	14980851	14980859	+	14.4808	8.06e-06		
tead4		chr1	15029940	15029948	-	13.2308	2.45e-05		
tead4		chr1	15079647	15079655	-	13.2308	2.45e-05		
tead4		chr1	15805080	15805088	-	13.1538	2.85e-05		
tead4		chr1	15996273	15996281	+	11	8.74e-05		
tead4		chr1	16106427	16106435	+	10.9423	9.23e-05		
tead4		chr1	16116027	16116035	+	14.4038	1.14e-05		
tead4		chr1	16122177	16122185	+	13.9038	1.47e-05		
tead4		chr1	16213574	16213582	-	13.2308	2.45e-05		
tead4		chr1	16229342	16229350	-	12.1923	3.99e-05		
tead4		chr1	16553195	16553203	+	11.6923	5.15e-05		
tead4		chr1	16553431	16553439	-	13.2308	2.45e-05		
tead4		chr1	16620136	16620144	+	11	8.74e-05		
tead4		chr1	17098358	17098366	-	11.5	6.38e-05		
tead4		chr1	17252061	17252069	-	11.3846	7.2e-05		
tead4		chr1	17420273	17420281	-	10.9423	9.23e-05		
tead4		chr1	17489949	17489957	+	11.5	6.38e-05		
tead4		chr1	17490342	17490350	-	10.8846	9.99e-05		
tead4		chr1	18246459	18246467	-	13.2308	2.45e-05		
tead4		chr1	18289230	18289238	-	11.5769	5.98e-05		
tead4		chr1	18377560	18377568	-	10.8846	9.99e-05		
tead4		chr1	18595962	18595970	-	12.0769	4.48e-05		
tead4		chr1	18696153	18696161	+	11.1154	8.34e-05		
tead4		chr1	18696424	18696432	-	13.2308	2.45e-05		
tead4		chr1	18794288	18794296	-	13.9038	1.47e-05		
tead4		chr1	18846337	18846345	-	13.2308	2.45e-05		
tead4		chr1	18981547	18981555	-	11.3846	7.2e-05		
tead4		chr1	19112813	19112821	-	11.2115	7.6e-05		
tead4		chr1	19957617	19957625	-	11.1154	8.34e-05		
tead4		chr1	20311112	20311120	-	11.3846	7.2e-05		
tead4		chr1	20668885	20668893	-	14.4038	1.14e-05		
tead4		chr1	20865629	20865637	+	12.0769	4.48e-05		
tead4		chr1	20946928	20946936	+	10.9423	9.23e-05		
tead4		chr1	20998853	20998861	+	13.1538	2.85e-05		
tead4		chr1	20998856	20998864	-	13.1538	2.85e-05		
tead4		chr1	21015182	21015190	-	14.4038	1.14e-05		
tead4		chr1	21044565	21044573	+	10.8846	9.99e-05		
tead4		chr1	21090489	21090497	-	11.5	6.38e-05		
tead4		chr1	21253231	21253239	-	11.4808	6.71e-05		
tead4		chr1	21254030	21254038	+	11.6923	5.15e-05		
tead4		chr1	21254144	21254152	+	13.2308	2.45e-05		
tead4		chr1	21345022	21345030	+	11.6923	5.15e-05		
tead4		chr1	21345744	21345752	-	13.2308	2.45e-05		
tead4		chr1	21350046	21350054	+	12.1923	3.99e-05		
tead4		chr1	22467674	22467682	-	10.8846	9.99e-05		
tead4		chr1	22789927	22789935	+	14.9808	4.03e-06		
tead4		chr1	23762161	23762169	-	11.8654	4.75e-05		
tead4		chr1	23892258	23892266	+	14.4038	1.14e-05		
tead4		chr1	23907103	23907111	+	11.1154	8.34e-05		
tead4		chr1	23956069	23956077	+	12.0769	4.48e-05		
tead4		chr1	24006217	24006225	+	11.4808	6.71e-05		
tead4		chr1	24172437	24172445	+	10.8846	9.99e-05		
tead4		chr1	24492417	24492425	+	12.6538	3.26e-05		
tead4		chr1	24679247	24679255	-	12.1923	3.99e-05		
tead4		chr1	25049703	25049711	+	11.1154	8.34e-05		
tead4		chr1	25049978	25049986	-	13.2308	2.45e-05		
tead4		chr1	26740551	26740559	+	13.9038	1.47e-05		
tead4		chr1	27045124	27045132	-	11.6923	5.15e-05		
tead4		chr1	28038144	28038152	+	13.7308	1.96e-05		
tead4		chr1	28038377	28038385	-	11.1154	8.34e-05		
tead4		chr1	28038655	28038663	-	14.4808	8.06e-06		
tead4		chr1	28038745	28038753	+	13.1538	2.85e-05		
tead4		chr1	28039218	28039226	+	13.9038	1.47e-05		
tead4		chr1	28611714	28611722	-	11.1154	8.34e-05		
tead4		chr1	29180169	29180177	-	13.2308	2.45e-05		
tead4		chr1	29442820	29442828	-	13.2308	2.45e-05		
tead4		chr1	29711721	29711729	-	13.2308	2.45e-05		
tead4		chr1	29936837	29936845	+	10.8846	9.99e-05		
tead4		chr1	29978640	29978648	+	13.2308	2.45e-05		
tead4		chr1	29978913	29978921	-	11.1154	8.34e-05		
tead4		chr1	29979284	29979292	-	11.6923	5.15e-05		
tead4		chr1	30402822	30402830	-	11.5769	5.98e-05		
tead4		chr1	30414529	30414537	+	14.4808	8.06e-06		
tead4		chr1	30433612	30433620	-	14.4038	1.14e-05		
tead4		chr1	30433657	30433665	-	11.3846	7.2e-05		
tead4		chr1	30434907	30434915	+	11.6923	5.15e-05		
tead4		chr1	30520197	30520205	-	13.2308	2.45e-05		
tead4		chr1	30781182	30781190	-	14.4808	8.06e-06		
tead4		chr1	30851188	30851196	-	14.9808	4.03e-06		
tead4		chr1	30878520	30878528	+	12.6538	3.26e-05		
tead4		chr1	30909030	30909038	-	14.4808	8.06e-06		
tead4		chr1	30909107	30909115	-	14.9808	4.03e-06		
tead4		chr1	30938560	30938568	-	12.6538	3.26e-05		
tead4		chr1	31006438	31006446	+	13.9038	1.47e-05		
tead4		chr1	31275834	31275842	-	10.9423	9.23e-05		
tead4		chr1	31600954	31600962	+	11.6923	5.15e-05		
tead4		chr1	31601191	31601199	-	13.2308	2.45e-05		
tead4		chr1	31601433	31601441	-	13.1538	2.85e-05		
tead4		chr1	31627894	31627902	+	13.9038	1.47e-05		
tead4		chr1	32897805	32897813	-	13.2308	2.45e-05		
tead4		chr1	33023584	33023592	-	11.6154	5.49e-05		
tead4		chr1	33244353	33244361	+	14.9808	4.03e-06		
tead4		chr1	33244410	33244418	+	13.2308	2.45e-05		
tead4		chr1	33271705	33271713	+	11.6923	5.15e-05		
tead4		chr1	33381120	33381128	-	13.2308	2.45e-05		
tead4		chr1	33381484	33381492	+	14.9808	4.03e-06		
tead4		chr1	33461466	33461474	-	13.2308	2.45e-05		
tead4		chr1	33479550	33479558	-	13.9038	1.47e-05		
tead4		chr1	33515457	33515465	-	11.3846	7.2e-05		
tead4		chr1	33670185	33670193	-	12.4423	3.59e-05		
tead4		chr1	33740146	33740154	+	10.8846	9.99e-05		
tead4		chr1	33752636	33752644	+	10.8846	9.99e-05		
tead4		chr1	33789644	33789652	-	13.2308	2.45e-05		
tead4		chr1	33814887	33814895	-	13.9038	1.47e-05		
tead4		chr1	33921555	33921563	-	12.0769	4.48e-05		
tead4		chr1	33960104	33960112	-	12.1923	3.99e-05		
tead4		chr1	33981139	33981147	+	14.9808	4.03e-06		
tead4		chr1	34012969	34012977	+	13.1538	2.85e-05		
tead4		chr1	34033105	34033113	-	12.4423	3.59e-05		
tead4		chr1	34039386	34039394	-	11.5769	5.98e-05		
tead4		chr1	34042077	34042085	-	14.4808	8.06e-06		
tead4		chr1	34045171	34045179	+	12.1923	3.99e-05		
tead4		chr1	34064029	34064037	-	11.5769	5.98e-05		
tead4		chr1	34103674	34103682	+	11.8654	4.75e-05		
tead4		chr1	34150083	34150091	-	11.1923	8.01e-05		
tead4		chr1	34241375	34241383	-	13.1538	2.85e-05		
tead4		chr1	34261233	34261241	-	14.4808	8.06e-06		
tead4		chr1	34301985	34301993	-	12.4423	3.59e-05		
tead4		chr1	34313033	34313041	-	11.5769	5.98e-05		
tead4		chr1	34393402	34393410	+	13.7308	1.96e-05		
tead4		chr1	34435737	34435745	-	10.9423	9.23e-05		
tead4		chr1	34452435	34452443	-	11.6923	5.15e-05		
tead4		chr1	34469891	34469899	-	14.9808	4.03e-06		
tead4		chr1	34470197	34470205	+	12.6538	3.26e-05		
tead4		chr1	34536959	34536967	-	14.4808	8.06e-06		
tead4		chr1	34738870	34738878	+	10.8846	9.99e-05		
tead4		chr1	34739137	34739145	+	13.9038	1.47e-05		
tead4		chr1	34739349	34739357	+	13.7308	1.96e-05		
tead4		chr1	34842040	34842048	-	12.0769	4.48e-05		
tead4		chr1	34844087	34844095	+	11.3846	7.2e-05		
tead4		chr1	34971404	34971412	+	11.6923	5.15e-05		
tead4		chr1	35116582	35116590	-	11	8.74e-05		
tead4		chr1	35141462	35141470	-	10.9423	9.23e-05		
tead4		chr1	35225393	35225401	+	13.2308	2.45e-05		
tead4		chr1	35267562	35267570	-	12.1923	3.99e-05		
