motif_id	motif_alt_id	sequence_name	start	stop	strand	score	p-value	q-value	matched_sequence
tead4_double_no_ervs_marg_seqs		chr1	3728672	3728688	-	11.9302	2.98e-05		
tead4_double_no_ervs_marg_seqs		chr1	4327931	4327947	+	9.7907	8.55e-05		
tead4_double_no_ervs_marg_seqs		chr1	4869865	4869881	-	9.53488	9.59e-05		
tead4_double_no_ervs_marg_seqs		chr1	5021140	5021156	-	9.95349	7.94e-05		
tead4_double_no_ervs_marg_seqs		chr1	5021142	5021158	+	11.7442	3.29e-05		
tead4_double_no_ervs_marg_seqs		chr1	5130246	5130262	-	11.093	4.61e-05		
tead4_double_no_ervs_marg_seqs		chr1	5462234	5462250	-	10.5116	6.12e-05		
tead4_double_no_ervs_marg_seqs		chr1	5986431	5986447	+	10.2791	6.83e-05		
tead4_double_no_ervs_marg_seqs		chr1	6188689	6188705	-	13	1.64e-05		
tead4_double_no_ervs_marg_seqs		chr1	6188691	6188707	+	10.3256	6.68e-05		
tead4_double_no_ervs_marg_seqs		chr1	6262606	6262622	-	14	8.87e-06		
tead4_double_no_ervs_marg_seqs		chr1	6280492	6280508	+	15.4186	3.36e-06		
tead4_double_no_ervs_marg_seqs		chr1	6383463	6383479	-	13.7209	1.06e-05		
tead4_double_no_ervs_marg_seqs		chr1	6613395	6613411	+	10.6047	5.85e-05		
tead4_double_no_ervs_marg_seqs		chr1	6768123	6768139	-	15.9535	2.25e-06		
tead4_double_no_ervs_marg_seqs		chr1	6768277	6768293	-	9.76744	8.64e-05		
tead4_double_no_ervs_marg_seqs		chr1	7126781	7126797	+	11.093	4.61e-05		
tead4_double_no_ervs_marg_seqs		chr1	7207244	7207260	+	10.0233	7.69e-05		
tead4_double_no_ervs_marg_seqs		chr1	7497879	7497895	-	11.4884	3.77e-05		
tead4_double_no_ervs_marg_seqs		chr1	7498523	7498539	+	11.4884	3.77e-05		
tead4_double_no_ervs_marg_seqs		chr1	7899256	7899272	-	9.7907	8.55e-05		
tead4_double_no_ervs_marg_seqs		chr1	8331935	8331951	+	10.3256	6.68e-05		
tead4_double_no_ervs_marg_seqs		chr1	8823144	8823160	-	10.907	5.05e-05		
tead4_double_no_ervs_marg_seqs		chr1	8823146	8823162	+	15.3023	3.66e-06		
tead4_double_no_ervs_marg_seqs		chr1	8943543	8943559	-	10.5116	6.12e-05		
tead4_double_no_ervs_marg_seqs		chr1	8943612	8943628	+	11.907	3.02e-05		
tead4_double_no_ervs_marg_seqs		chr1	9145955	9145971	+	14.6279	5.86e-06		
tead4_double_no_ervs_marg_seqs		chr1	9146467	9146483	+	9.81395	8.46e-05		
tead4_double_no_ervs_marg_seqs		chr1	9359208	9359224	-	12.093	2.73e-05		
tead4_double_no_ervs_marg_seqs		chr1	9381340	9381356	-	12.093	2.73e-05		
tead4_double_no_ervs_marg_seqs		chr1	9381342	9381358	+	11.6744	3.42e-05		
tead4_double_no_ervs_marg_seqs		chr1	9408533	9408549	+	11.3023	4.14e-05		
tead4_double_no_ervs_marg_seqs		chr1	9409082	9409098	+	11.814	3.17e-05		
