motif_id	motif_alt_id	sequence_name	start	stop	strand	score	p-value	q-value	matched_sequence
tead4_no_ervs_marg_seqs		chr1	3423936	3423944	+	11.5455	4.14e-05		
tead4_no_ervs_marg_seqs		chr1	3671718	3671726	+	11.5455	4.14e-05		
tead4_no_ervs_marg_seqs		chr1	3729080	3729088	+	12.4545	1.47e-05		
tead4_no_ervs_marg_seqs		chr1	4327275	4327283	+	11.0364	8.92e-05		
tead4_no_ervs_marg_seqs		chr1	4327574	4327582	-	11.0364	8.92e-05		
tead4_no_ervs_marg_seqs		chr1	4745876	4745884	+	12.5273	7.34e-06		
tead4_no_ervs_marg_seqs		chr1	4808725	4808733	-	11.6182	3.41e-05		
tead4_no_ervs_marg_seqs		chr1	5016059	5016067	-	12.5273	7.34e-06		
tead4_no_ervs_marg_seqs		chr1	5108867	5108875	-	11.1273	6.24e-05		
tead4_no_ervs_marg_seqs		chr1	5123689	5123697	-	11.6182	3.41e-05		
tead4_no_ervs_marg_seqs		chr1	5123903	5123911	-	11.0364	8.92e-05		
tead4_no_ervs_marg_seqs		chr1	5124461	5124469	+	12.2727	2.07e-05		
tead4_no_ervs_marg_seqs		chr1	5124576	5124584	-	11.0364	8.92e-05		
tead4_no_ervs_marg_seqs		chr1	5129740	5129748	+	11.1273	6.24e-05		
tead4_no_ervs_marg_seqs		chr1	5262275	5262283	-	11.0545	7.13e-05		
tead4_no_ervs_marg_seqs		chr1	5705140	5705148	+	11.1273	6.24e-05		
tead4_no_ervs_marg_seqs		chr1	6135447	6135455	-	11.0364	8.92e-05		
tead4_no_ervs_marg_seqs		chr1	6360024	6360032	+	12.4545	1.47e-05		
tead4_no_ervs_marg_seqs		chr1	6361900	6361908	-	11.0364	8.92e-05		
tead4_no_ervs_marg_seqs		chr1	6361931	6361939	-	11.0364	8.92e-05		
tead4_no_ervs_marg_seqs		chr1	6768065	6768073	+	12.4545	1.47e-05		
tead4_no_ervs_marg_seqs		chr1	7089410	7089418	-	11.5455	4.14e-05		
tead4_no_ervs_marg_seqs		chr1	7498709	7498717	-	11.5455	4.14e-05		
tead4_no_ervs_marg_seqs		chr1	7498757	7498765	+	11.0545	7.13e-05		
tead4_no_ervs_marg_seqs		chr1	7638646	7638654	+	11.5455	4.14e-05		
tead4_no_ervs_marg_seqs		chr1	7989041	7989049	-	11.0364	8.92e-05		
tead4_no_ervs_marg_seqs		chr1	8746085	8746093	+	11.0364	8.92e-05		
tead4_no_ervs_marg_seqs		chr1	8943586	8943594	-	11.0364	8.92e-05		
tead4_no_ervs_marg_seqs		chr1	9313723	9313731	-	11.0364	8.92e-05		
tead4_no_ervs_marg_seqs		chr1	9546549	9546557	+	12.4545	1.47e-05		
tead4_no_ervs_marg_seqs		chr1	9560016	9560024	+	11.6182	3.41e-05		
tead4_no_ervs_marg_seqs		chr1	9748723	9748731	+	11.0545	7.13e-05		
